Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Poster,imdbRating,imdbVotes,imdbID,Type,saturation,brightness,entropy,sharpness,contrast,colorfulness,hex_0,hex_1,hex_2,hex_3,hex_4
The Ascent,2017,N/A,10 Nov 2017,98 min,"Crime, Thriller",Thomas Murtagh,Thomas Murtagh,https://m.media-amazon.com/images/M/MV5BMjdhYTZjNDAtZjc2Ni00NWRjLThmOGEtNjAxOGY3NmMxMTFiXkEyXkFqcGdeQXVyMjA0OTkzMzE@._V1_SX300.jpg,5.6,249,tt2630742,movie,20.447454248366014,17.658650326797385,3.0234098958333333,899.3851063197221,49.20797946484108,28.02069077217686,#b9b1b1,#8e7576,#6c4444,#361e1e,#030202
Lucky Them,2013,R,24 Apr 2015,97 min,"Comedy, Drama",Megan Griffiths,"Huck Botko, Caroline Sherman, Emily Wachtel",https://m.media-amazon.com/images/M/MV5BMTM5OTI4ODAzOV5BMl5BanBnXkFtZTgwNTY5OTg2MTE@._V1_SX300.jpg,6.1,"3,709",tt1885299,movie,28.719594320486816,58.004832093757045,3.9829700670498083,1332.804519402593,88.32842593116689,27.012478001169775,#8e746b,#c7b6ae,#5b3f3c,#2f1413,#f9f3ec
Batman: The Killing Joke,2016,R,25 Jul 2016,76 min,"Animation, Action, Crime",Sam Liu,"Brian Azzarello, Brian Bolland, Bob Kane",https://m.media-amazon.com/images/M/MV5BMTdjZTliODYtNWExMi00NjQ1LWIzN2MtN2Q5NTg5NTk3NzliL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,6.4,"56,507",tt4853102,movie,37.033612200435726,22.840395061728394,3.785872453703704,3535.448122002963,54.88590839519172,33.038635645003566,#e8d5d9,#a28381,#6f3f42,#2c2b2f,#070506
Kochaj i tancz,2009,N/A,06 Mar 2009,118 min,Romance,Bruce Parramore,"Renata Frydrych, Maciej Kowalewski, Bruce Parramore",https://m.media-amazon.com/images/M/MV5BMTQ3OTQxNjA3Ml5BMl5BanBnXkFtZTgwOTc5NTAzMTE@._V1_SX300.jpg,4.8,"1,108",tt1291545,movie,43.21721568627451,64.50152941176471,4.971092708333333,2245.039124159722,68.99884161623456,59.247436042843496,#26182e,#c797ba,#3d4680,#96487f,#edd1e4
Solo para dos,2013,N/A,19 Sep 2013,97 min,"Comedy, Romance",Roberto Santiago,"Pablo Fernández Vázquez, Roberto Santiago",https://m.media-amazon.com/images/M/MV5BOGMxMGEzNTEtZTU0ZC00MzcyLWE4MmMtMzQ0MmQ1MzA2ODQxXkEyXkFqcGdeQXVyMzAzODY0NzE@._V1_SX300.jpg,4.7,257,tt2482082,movie,24.471425321868885,82.44520267503754,3.746326856148492,2362.2461792467498,68.14354516818781,61.526392207523415,#3a2e2e,#cba9a3,#885c72,#69c2e0,#f6f8f9
Sole Custody,2014,TV-PG,16 Aug 2014,95 min,Thriller,Brenton Spencer,"Gary E. Imhoff, Brian D. Young",https://m.media-amazon.com/images/M/MV5BZTc1YTdhMjYtMDI4Ni00NTgxLWIxMGUtMjU1ZGM5YTFjNGZiXkEyXkFqcGdeQXVyMTI2OTM0NzQ@._V1_SX300.jpg,5.4,323,tt2766882,movie,50.721307189542486,67.65731299927378,4.069344444444445,578.086886323402,85.81305112224558,87.83124408835778,#b75221,#f3bb46,#331119,#403461,#f3eddb
Wood Job!,2014,N/A,10 May 2014,116 min,"Adventure, Comedy",Shinobu Yaguchi,"Shiwon Miura, Shinobu Yaguchi",https://m.media-amazon.com/images/M/MV5BMGE2Yjc0ODctN2IyZS00MDNhLWFmYmYtNDdiZmUzOTk5ODFkXkEyXkFqcGdeQXVyMjU0ODQ5NTA@._V1_SX300.jpg,7.5,"3,349",tt2964120,movie,30.24558746089273,49.72190936406158,5.264996050552923,9156.057664014734,68.54377663908093,34.01753370726016,#c0c3a1,#fafbf7,#888e69,#516143,#233424
The Subjects,2015,Not Rated,08 Oct 2015,80 min,Thriller,Robert Mond,Robert Mond,https://m.media-amazon.com/images/M/MV5BMTQ5OTkwNzk4OF5BMl5BanBnXkFtZTgwNzE5NDY1MzE@._V1_SX300.jpg,5.1,"1,237",tt4224478,movie,48.49690572925867,16.972501913678386,3.5081702796546548,263.9559704894083,17.970138413483873,58.938152119392335,#595959,#a9a8a9,#440809,#6d0304,#0e0b0b
Accident,2009,Not Rated,24 Sep 2009,89 min,"Mystery, Thriller",Soi Cheang,"Kam-Yuen Szeto, Lik-Kei Tang",https://m.media-amazon.com/images/M/MV5BZmIxNTE2NDMtOGRjNy00ZjRjLWJlZWItZjFjYjcyY2Q4ODAwXkEyXkFqcGdeQXVyMjQwMjk0NjI@._V1_SX300.jpg,6.6,"3,333",tt1202514,movie,37.38476597590063,48.724700306662946,4.900069609004739,5047.503225154608,79.16431722595956,27.842850338782153,#f9f6f2,#c6ad9c,#8f7262,#180b08,#543c32
"Tiny Shoulders, Rethinking Barbie",2018,N/A,27 Apr 2018,91 min,Documentary,Andrea Blaugrund Nevins,Andrea Blaugrund Nevins,https://m.media-amazon.com/images/M/MV5BNzU5NDY1NDEwNV5BMl5BanBnXkFtZTgwODI5Njg0NTM@._V1_SX300.jpg,6.6,286,tt7259104,movie,54.254631893909824,66.68746922637368,3.9619741801041406,1651.0243955124092,79.41548679680884,64.1862946092539,#e2b596,#c48055,#fefdfc,#924b24,#461e09
Slove,2011,N/A,22 Feb 2011,90 min,"Action, Thriller",Jürgen Staal,Jürgen Staal,https://m.media-amazon.com/images/M/MV5BYTViN2M0NTgtNWUwMC00ZDBiLWFjNTItODUxMTM4NmZlY2MxXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,3.4,251,tt1822308,movie,56.704084586437524,40.1729786553316,4.827137237762238,10934.986928605584,77.58448969201734,46.893962221148186,#f5e4d2,#c8a387,#573321,#97644f,#100603
Berserk: The Golden Age Arc III - The Advent,2013,Not Rated,01 Feb 2013,110 min,"Animation, Action, Adventure",Toshiyuki Kubooka,"Kentaro Miura, Ichirô Ôkouchi",https://m.media-amazon.com/images/M/MV5BMjExMjJhYWYtNzZhMy00MjFmLWI2NmEtMGUzZmM4MWY5YzRmXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,7.8,"10,211",tt2358913,movie,63.54591918368579,31.17127201920029,3.5491440531177827,1801.1351855654937,43.5197363442803,61.82394994947718,#f1bb9c,#ce6452,#962e28,#551d1c,#1d0c0b
Ship of Theseus,2012,Not Rated,19 Jul 2013,140 min,Drama,Anand Gandhi,"Anand Gandhi, Khushboo Ranka, Pankaj Kumar",https://m.media-amazon.com/images/M/MV5BMTU5Njc1NjkxMl5BMl5BanBnXkFtZTgwNTkzNTQwMDE@._V1_SX300.jpg,8.0,"7,358",tt1773764,movie,16.548107267315775,88.23142938334755,3.6400433829138064,3951.8063918373605,44.359521643462315,23.80482773908559,#584e3c,#9c9886,#d0c6a9,#eee4bf,#fbf7dd
Shin-gi-jeon,2008,Not Rated,04 Sep 2008,134 min,"Adventure, Drama",Yoo-jin Kim,"Man-Hee Lee, Hyeon-jeong Shin",https://m.media-amazon.com/images/M/MV5BMTcyNjY3MzY3OV5BMl5BanBnXkFtZTgwOTQzNzE1MjE@._V1_SX300.jpg,6.1,798,tt1185594,movie,21.08760619001699,39.959406713505075,4.836320745511319,4681.29560642203,78.5917072643166,14.149597507306028,#b2b1aa,#eceae4,#7b7a73,#4b4844,#0d0a09
The Ottoman Lieutenant,2017,R,10 Mar 2017,106 min,"Drama, War",Joseph Ruben,Jeff Stockwell,https://m.media-amazon.com/images/M/MV5BMTg3ZDVlMjgtNTM4Yi00ZTQ3LThmM2QtYzdjZmRjMTcxMTkzXkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_SX300.jpg,6.4,"25,735",tt4943322,movie,80.02230373288653,61.821443342541016,4.517529349499615,1404.9577964500438,65.75327741642157,78.11274989871669,#f9c96a,#b86528,#84350f,#e69d42,#3a1303
P.L.U.G.,2014,N/A,01 Oct 2016,17 min,"Short, Action, Sci-Fi",David Vyle Levy,"Hatem Benabdallah, David Vyle Levy",https://m.media-amazon.com/images/M/MV5BMTQ5MzU5OTAxOF5BMl5BanBnXkFtZTgwMDc0MTQ2MzE@._V1_SX300.jpg,5.6,284,tt1899268,movie,20.907671889716585,31.426597596826213,3.984965884279476,1021.5836252955173,66.78891422242538,17.49210391519312,#dce1dc,#99a7a7,#5d7178,#333e41,#101212
At Berkeley,2013,N/A,12 Sep 2014,244 min,Documentary,Frederick Wiseman,N/A,https://m.media-amazon.com/images/M/MV5BMjMzNTkwODg3M15BMl5BanBnXkFtZTgwODIxMjY1MDE@._V1_SX300.jpg,7.3,657,tt3091552,movie,14.347786354360748,26.20722798923491,4.248975773001508,4728.851805301045,51.81078375314631,22.169913985359162,#cbbca1,#90897a,#645c52,#39332d,#1d1c1a
Dangerous Company,2015,Unrated,15 Aug 2015,87 min,Thriller,Sheldon Larry,Jeff Brady,https://m.media-amazon.com/images/M/MV5BODYyNTg0NTMzOV5BMl5BanBnXkFtZTgwMjM4MDczNjE@._V1_SX300.jpg,4.6,319,tt3877344,movie,44.127977124183005,32.82134640522876,4.2738177083333335,4607.506690341598,83.91582431351429,19.499905084383954,#7f7a79,#f3ede8,#c1b4ae,#31353d,#06090e
Dracula 3D,2012,Not Rated,04 Oct 2013,110 min,"Drama, Horror, Romance",Dario Argento,"Dario Argento, Enrique Cerezo, Stefano Piani",https://m.media-amazon.com/images/M/MV5BNjJjZTM5ZDktZmZiMy00ZmJlLTk3MzAtZmU3NzliODUxOWJjXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_SX300.jpg,3.5,"4,532",tt1852770,movie,38.30768926063044,15.329999847646906,3.3703081293706294,2128.1067799952184,53.37346904371669,14.922139334905193,#f2ebe1,#a39388,#5b4e49,#2f2420,#070403
Cure: The Life of Another,2014,Not Rated,23 Oct 2014,83 min,"Drama, Mystery, Thriller",Andrea Staka,"Andrea Staka, Marie Kreutzer, Thomas Imbach",https://m.media-amazon.com/images/M/MV5BMTU5MzIzNzY1OF5BMl5BanBnXkFtZTgwODY0NDUzMjE@._V1_SX300.jpg,5.4,282,tt1554929,movie,55.920008531773234,43.98949677773207,4.3244687257187255,1875.5022905509582,58.883953321407354,53.63386618477105,#5a4231,#cab4a4,#9d7c6a,#045c76,#20150e
Justin Bieber: Never Say Never,2011,G,11 Feb 2011,105 min,"Documentary, Music",Jon M. Chu,N/A,https://m.media-amazon.com/images/M/MV5BMTY0NDQzMjIzOF5BMl5BanBnXkFtZTcwNDk2NzczNA@@._V1_SX300.jpg,1.6,"76,248",tt1702443,movie,14.81829507922572,50.134035703833774,4.3794718372423596,1820.7952662266898,76.50211515146627,22.819478888075594,#3b3b41,#111012,#e4e0d8,#656876,#a8a9ac
La buca,2014,N/A,25 Sep 2014,90 min,Comedy,Daniele Ciprì,"Daniele Ciprì, Massimo Gaudioso, Alessandra Acciai",https://m.media-amazon.com/images/M/MV5BNDE1ZmUyNzYtYzdkZS00ZGU5LTkxMTYtMWM5MmJmYTFhOWU2XkEyXkFqcGdeQXVyNjUxNTYzOTM@._V1_SX300.jpg,5.5,368,tt3463244,movie,25.650837180248946,56.06133126133126,5.204911616161616,4751.68495285507,68.82886955835166,42.459869981270536,#e7dbd2,#4a474a,#15181a,#9c6163,#b0b6b0
Las Plantas,2015,N/A,20 Oct 2016,94 min,Drama,Roberto Doveris,N/A,https://m.media-amazon.com/images/M/MV5BMDhjMTBmYTctOTI1Ni00OWYzLTg4YWYtMWU0YjVkZGU0MTk5L2ltYWdlXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg,5.4,220,tt5305262,movie,13.257211633682221,78.40810518457577,4.311205808080808,1900.546588635986,52.16284607739796,32.51919371299898,#6e746a,#cc7a86,#3c4238,#ccbeb5,#ebe4db
The War Boys,2009,Unrated,30 May 2009,93 min,"Crime, Drama, Romance",Ron Daniels,"Bruce McLeod, Naomi Wallace",https://m.media-amazon.com/images/M/MV5BMTg5MDM3MTc0OV5BMl5BanBnXkFtZTcwNjk2NDQ3Mg@@._V1_SX300.jpg,6.5,"1,784",tt1070887,movie,64.43332314365983,58.859373771780426,3.5587943114328136,616.6107255902609,75.42273510008289,102.48373983205474,#433837,#ada585,#f1e9c4,#080507,#0a8cc8
Prescription for Danger,2018,TV-14,21 Apr 2018,90 min,"Drama, Mystery, Thriller",Caroline Labrèche,James Phillips,https://m.media-amazon.com/images/M/MV5BMGQzNjhkOWYtMTUwNC00OWI0LTkwNjctMjZiNjEwN2QxZTE3XkEyXkFqcGdeQXVyMTk1NzUwMA@@._V1_SX300.jpg,5.2,638,tt7177754,movie,17.41765000294412,68.23178472590237,4.511194162912913,1380.9539021665248,66.31895205818462,24.197148558703905,#5c6169,#18202c,#929296,#beb8b6,#d8dce3
Crazy Beautiful You,2015,N/A,25 Feb 2015,114 min,"Comedy, Drama, Romance",Mae Czarina Cruz,"Jancy E. Nicolas, Bianca B. Bernardino, Maan Dimaculangan",https://m.media-amazon.com/images/M/MV5BNDJmYjEwOWItMDZjMi00ZWNjLWI0MjUtNjIyZDgwOTUxNmE3XkEyXkFqcGdeQXVyNTI5NjIyMw@@._V1_SX300.jpg,7.0,853,tt4377918,movie,58.129167232712945,76.57077993630092,4.6038298691301005,4212.898298321442,65.0633611669699,83.41601540109455,#fcf3e0,#62220e,#f0c593,#a2582b,#da9940
À ciel ouvert,2013,N/A,08 Jan 2014,110 min,"Documentary, Drama",Mariana Otero,"Mariana Otero, Anne Paschetta",https://m.media-amazon.com/images/M/MV5BNWM0MTY4MmMtOWEzOC00YmJiLTk1ZDUtOTEzYjg2ZjdlYTA1XkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_SX300.jpg,7.5,50,tt3150912,movie,39.839345478143976,77.83659203634173,4.100650856973996,1103.3505985658496,48.5021274628743,53.74635421457498,#1c3860,#f9f9fa,#98525f,#b1bdd6,#71a6ce
Something from Nothing: The Art of Rap,2012,R,20 Jul 2012,106 min,"Documentary, Music","Ice-T, Andy Baybutt",N/A,https://m.media-amazon.com/images/M/MV5BMjE4MTY4NTI1MF5BMl5BanBnXkFtZTcwOTEwNDU4Nw@@._V1_SX300.jpg,7.1,"3,502",tt2062996,movie,12.59876022157742,74.93332160966031,4.382315489536622,6983.9056725849105,69.57289714481797,38.532004718323606,#3a3639,#740d08,#79797e,#b7b8bd,#e7e8eb
The Insult,2017,R,25 Jun 2019,113 min,"Crime, Drama, Thriller",Ziad Doueiri,"Ziad Doueiri, Joelle Touma",https://m.media-amazon.com/images/M/MV5BZTI1NGM1YjgtZjgzNS00MmYxLWIyYmYtOTUwNjA0YmYyN2E5XkEyXkFqcGdeQXVyNjc0MzY3NTA@._V1_SX300.jpg,7.6,"16,847",tt7048622,movie,22.84046693752576,57.489695577930874,4.332665634384385,2123.1270046866125,58.85754618085621,31.901876467941918,#fafaf8,#2d282f,#9a876e,#6e5948,#c5bda7
Killer Nurse,2008,N/A,01 Nov 2008,80 min,"Crime, Horror",Ulli Lommel,Ulli Lommel,https://m.media-amazon.com/images/M/MV5BY2MyODZhY2QtNjhhNi00NjFjLWExMGQtZmY4ZTY0MjE2ZWM1XkEyXkFqcGdeQXVyMTIxMDUyOTI@._V1_SX300.jpg,2.0,118,tt1279092,movie,26.16395634706482,41.901840858667626,4.778014621559633,3321.826735127456,84.00719796016377,21.24617574780297,#b3b496,#edeed3,#7c7b64,#474633,#0a0a06
Seeds of Destruction,2011,PG-13,08 Oct 2011,90 min,"Action, Sci-Fi, Thriller",Paul Ziller,"Mike Muldoon, Paul Ziller",https://m.media-amazon.com/images/M/MV5BMzNiYTliMzItYjc1NS00MjQwLThlMDMtYzAwODhkOTRhMDJiXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,3.5,756,tt1706680,movie,72.0576862745098,37.066339869281045,3.7769565104166665,2523.3609067582643,87.71890516246224,73.16275306674731,#e7b84e,#632c10,#bd6b20,#f5eeda,#0e0202
Every Blessed Day,2012,N/A,11 Oct 2012,102 min,"Comedy, Drama, Romance",Paolo Virzì,"Simone Lenzi, Paolo Virzì, Francesco Bruni",https://m.media-amazon.com/images/M/MV5BYWRhZjVjMzctYTY3Yi00YWUzLTkzNWItNDk4Yjc3N2VlNjlkXkEyXkFqcGdeQXVyMjAxMTc5Mzk@._V1_SX300.jpg,6.8,"1,844",tt2290789,movie,42.02653686183098,57.11371330194859,4.3658323620823625,2920.0513283226146,81.3958577945765,57.794408687015405,#604b3a,#cc9c5f,#65b3be,#121414,#c9e1d6
The Origin of Stitch,2005,PG,N/A,5 min,"Animation, Short, Comedy, Family, Sci-Fi","Tony Bancroft, Mike Disa",N/A,https://m.media-amazon.com/images/M/MV5BMTk5MWYzOTQtMjcxMS00ODY0LThhNjctZDk0YTBiYjk0YWVhXkEyXkFqcGdeQXVyNjQyNzU5NzU@._V1_SX300.jpg,6.2,115,tt1242449,movie,33.32241054613936,86.88809866696208,3.7712541195856875,1759.431784138941,70.43236796604512,74.40405603251352,#3c2f2a,#7d8775,#a50809,#9dd3f3,#e0f7fa
First Man,2018,PG-13,12 Oct 2018,141 min,"Biography, Drama, History",Damien Chazelle,"Josh Singer, James R. Hansen",https://m.media-amazon.com/images/M/MV5BMDBhOTMxN2UtYjllYS00NWNiLWE1MzAtZjg3NmExODliMDQ0XkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_SX300.jpg,7.3,"186,270",tt1213641,movie,56.36211076711386,29.379594083247333,4.554320175438597,2594.725352589031,49.02400348912879,51.806932081125126,#e4bc8a,#ad6951,#713f34,#352528,#0b0c15
Eu Maior,2013,N/A,21 Nov 2013,90 min,"Documentary, Drama","Fernando Schultz, Paulo Schultz",Fernando Schultz,https://m.media-amazon.com/images/M/MV5BMzM5MDVlNjctNmNkMy00MjI0LTk1ZmEtMWM0NGQ2OTNjN2EzXkEyXkFqcGdeQXVyMzgwNjc1MTc@._V1_SX300.jpg,7.9,190,tt3062922,movie,36.60970165844115,56.8928312065567,4.6040707671957675,3653.683110072392,85.67606192745738,58.59207305990971,#cd823b,#939c9b,#624738,#181311,#fafaf7
The Decent One,2014,Not Rated,18 Sep 2014,94 min,"Documentary, Drama, History",Vanessa Lapa,"Vanessa Lapa, Ori Weisbrod",https://m.media-amazon.com/images/M/MV5BZWFjODZlZmYtNWYwOC00M2RlLWJlMTctYjA1NzIwYTIxODI0XkEyXkFqcGdeQXVyNjc5NTc1MTg@._V1_SX300.jpg,6.7,673,tt3508830,movie,35.40461764705882,57.65977777777778,4.896709375,2788.9767002441663,62.321317050200385,63.199306734579544,#ebdf23,#142d32,#d1dce1,#889ea4,#526c72
White Chamber,2018,N/A,29 Mar 2019,89 min,"Drama, Horror, Sci-Fi",Paul Raschid,Paul Raschid,https://m.media-amazon.com/images/M/MV5BOTU2OTIwMjE4OF5BMl5BanBnXkFtZTgwNzUxNzg0NzM@._V1_SX300.jpg,4.4,"1,525",tt6888938,movie,27.524132956485897,73.1417888476712,4.4841141141141145,1009.3686497551039,61.81014976472746,30.956007906624635,#23254e,#8696ba,#5a6492,#e2ebf4,#b1c1d8
What Would Jesus Do?,2010,PG,22 May 2010,94 min,Drama,Thomas Makowski,"Joseph Nasser, Kevan Otto",https://m.media-amazon.com/images/M/MV5BZDI4YzM2ZmItZjIzNy00NzlhLWJiODYtOWJmM2VkZDI2NzZkXkEyXkFqcGdeQXVyMTY5Nzc4MDY@._V1_SX300.jpg,4.8,833,tt1430131,movie,40.106866013071894,78.47681045751634,4.578500520833333,4109.452955204931,69.68518780502494,73.84986408383867,#52411e,#106b9f,#b68846,#bdc1ba,#f3f2e5
Stronger,2017,R,29 Sep 2017,119 min,"Biography, Drama",David Gordon Green,"John Pollono, Jeff Bauman, Bret Witter",https://m.media-amazon.com/images/M/MV5BMjE0NjIwMjQ2MF5BMl5BanBnXkFtZTgwNTAxMzQ5MjI@._V1_SX300.jpg,6.9,"44,938",tt3881784,movie,14.63762943379599,68.76291106704855,3.058307584269663,1796.3474699827464,83.10551890252547,19.326632255842046,#7c8690,#b5b8b8,#3c3c53,#13110f,#e5e4df
"Happy, Happy",2010,R,16 Sep 2011,85 min,"Comedy, Drama",Anne Sewitsky,"Mette M. Bølstad, Anne Sewitsky, Ragnhild Tronvoll",https://m.media-amazon.com/images/M/MV5BYzZlNmU5YWUtMWYzYy00MDViLWEzOWItNzMxMGY4NGQzNzQ2XkEyXkFqcGdeQXVyNzI1NzMxNzM@._V1_SX300.jpg,6.5,"3,123",tt1664892,movie,38.47150844797903,65.86202294437588,4.598167735042735,3385.3349559461685,67.06535385480403,71.73699240832445,#e11f30,#0d0805,#76503d,#b6927e,#dcc1af
Huge,2010,N/A,08 Jul 2011,78 min,"Comedy, Drama",Ben Miller,"Jez Butterworth, Ben Miller, Simon Godley",https://m.media-amazon.com/images/M/MV5BNmVmYmIzODctNmNkYy00MjEwLTljZmUtYzFmMWVjZTYxMWRlL2ltYWdlXkEyXkFqcGdeQXVyMjE5MzM5MDA@._V1_SX300.jpg,4.3,339,tt1457726,movie,31.343639796659403,81.91453304284677,3.2576282407407406,2307.255438222222,66.87838666686322,82.11488938677238,#a38885,#492121,#e6ba29,#3361a2,#e8e8e9
City of God,2011,N/A,23 Mar 2011,145 min,Drama,Lijo Jose Pellissery,Babu Janardanan,https://m.media-amazon.com/images/M/MV5BNjVlYzFhZWUtYzIxMi00NTVlLTgwZTMtOTU4MWI4MDI3NDFjXkEyXkFqcGdeQXVyMjkxNzQ1NDI@._V1_SX300.jpg,7.0,642,tt1854518,movie,74.88464705882353,48.23156209150327,4.6994265625,4757.684317664931,68.69507081968544,86.3113213785301,#dbd6c9,#b1502f,#662213,#e69f45,#170804
View from a Blue Moon,2015,PG,11 Nov 2015,58 min,Action,Blake Kueny,Jay Tormohlen,https://m.media-amazon.com/images/M/MV5BMTU0NzMyNzA2MF5BMl5BanBnXkFtZTgwMTk3NTkyNzE@._V1_SX300.jpg,6.5,912,tt5199588,movie,46.66797385620915,75.77989909414057,2.79796600877193,863.3816272081581,62.78389568962106,73.59641075937469,#393638,#f9fcfc,#699ab8,#1467a8,#e0d2c4
Hesher,2010,R,25 Jun 2011,106 min,Drama,Spencer Susser,"Spencer Susser, David Michôd, Brian Charles Frank",https://m.media-amazon.com/images/M/MV5BMTUzMjU1NzY4NV5BMl5BanBnXkFtZTcwODg0ODU4NA@@._V1_SX300.jpg,6.9,"52,380",tt1403177,movie,8.263961224939415,18.843128442388192,3.8503342696629215,1511.9570891088952,56.87949285312171,35.744364428132755,#969696,#d32629,#ededed,#3c3c3b,#141413
The Beautiful Person,2008,Unrated,06 Mar 2009,97 min,"Comedy, Drama",Christophe Honoré,"Christophe Honoré, Gilles Taurand, Madame de La Fayette",https://m.media-amazon.com/images/M/MV5BNTY5ZGMyZDEtY2E3Ny00ZDZkLTk4YmUtMWI1YjRkNTRmNDQzXkEyXkFqcGdeQXVyMTA3NjcyOTI2._V1_SX300.jpg,6.6,"7,220",tt1263778,movie,81.80754444283856,62.98640458640459,3.246283271908272,1395.8569604273025,64.34638377607884,147.4574077055894,#f9e8df,#eea030,#5f2217,#110603,#dc070f
Hannah Gadsby: Nanette,2018,TV-MA,19 Jun 2018,69 min,"Documentary, Comedy","Jon Olb, Madeleine Parry",Hannah Gadsby,https://m.media-amazon.com/images/M/MV5BY2I3MThmYTctZTU4YS00YWNmLTg4YzktNDY0ZGE5MmQ3Y2Q3XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,8.1,"12,418",tt8465676,movie,63.882988541159264,35.54027386310175,3.7843890446953075,1454.154209222413,59.545863565522644,50.13781609223319,#3d9cce,#e9cec3,#a7685c,#313a5c,#0c0f2c
Shaun the Sheep Movie,2015,PG,05 Aug 2015,85 min,"Animation, Adventure, Comedy","Mark Burton, Richard Starzak","Mark Burton, Richard Starzak, Nick Park",https://m.media-amazon.com/images/M/MV5BOTc1ODY5MTQ1Nl5BMl5BanBnXkFtZTgwMDM5ODI1NjE@._V1_SX300.jpg,7.3,"40,565",tt2872750,movie,27.979461814755933,49.16861273037743,4.8668440315315316,2554.5082723207447,67.66871145687016,40.81633274005188,#69a7cc,#d8dbd5,#aa9f83,#1f2123,#53574c
Fortress of War,2010,Not Rated,04 Nov 2010,138 min,"Action, Drama, History",Aleksandr Kott,"Aleksey Dudarev, Vladimir Eryomin, Ekaterina Tirdatova",https://m.media-amazon.com/images/M/MV5BMTQzOTA2OTU1M15BMl5BanBnXkFtZTcwNzEyNzQ5NA@@._V1_SX300.jpg,7.4,"9,858",tt1343703,movie,23.888038758626994,16.139110562639974,2.9870289432789434,3012.6256177155574,51.31376673745809,41.795749323958404,#b3282f,#b5b6b8,#646465,#39292b,#030202
What Other Couples Do,2013,Not Rated,05 Sep 2013,87 min,"Comedy, Drama, Romance",Courtney Daniels,Courtney Daniels,https://m.media-amazon.com/images/M/MV5BY2UzMjFmNDktOTc4MC00OTY3LWJmM2QtMmE4OWUxMTVlYThhXkEyXkFqcGdeQXVyMjQ0OTgwNDc@._V1_SX300.jpg,5.5,387,tt2375763,movie,34.47172504957039,47.49001689065139,3.7740943352059926,3299.870462241917,92.19046051046963,61.551688008505145,#502518,#b25d37,#daa784,#f7ebe2,#040203
Christmas Land,2015,TV-G,20 Dec 2015,84 min,"Comedy, Drama, Family",Sam Irvin,"Daisy MacLean, Robin Archer, Jay Cipriani",https://m.media-amazon.com/images/M/MV5BMTUwMzk3NTkzMF5BMl5BanBnXkFtZTgwNjc1Njk0NzE@._V1_SX300.jpg,5.8,"2,522",tt5265662,movie,55.26004938271605,53.14272766884532,4.735950462962963,6723.063019849876,62.872572639593706,78.32041521931247,#dddfde,#a91f21,#1c1a24,#84958f,#275f66
Parasyte: Part 1,2014,N/A,29 Nov 2014,109 min,"Action, Drama, Horror",Takashi Yamazaki,"Hitoshi Iwaaki, Ryôta Kosawa, Sean Whitley",https://m.media-amazon.com/images/M/MV5BNzE3MWEyNmMtYjUxYi00YTE4LWE0YjEtNmI3YTI4MDkwYzE0XkEyXkFqcGdeQXVyNDQxNjcxNQ@@._V1_SX300.jpg,6.9,"4,809",tt3345472,movie,15.577007029226785,78.21188802565051,4.2262686713836475,4261.000075685298,57.96297124684829,24.8916711698593,#2e3d44,#778c8e,#b2b4a9,#d7d4c6,#f1f7f6
Spy(Ies),2009,N/A,28 Jan 2009,99 min,"Drama, Romance, Thriller",Nicolas Saada,Nicolas Saada,https://m.media-amazon.com/images/M/MV5BMjAyNTM4OTc1OF5BMl5BanBnXkFtZTgwMTA0MzU1MTE@._V1_SX300.jpg,5.9,"1,049",tt1149592,movie,31.970911764705882,46.97061437908497,3.843142708333333,4112.0675928775,105.11204418944227,25.77475026460745,#d2c2ab,#987c5b,#4c3927,#fcfbf7,#0f0c08
The King of Fighters,2010,Not Rated,26 Aug 2010,93 min,"Action, Sci-Fi, Thriller",Gordon Chan,"Rita Augustine, Chris Chow, Matthew Ryan Fischer",https://m.media-amazon.com/images/M/MV5BMjM2OTU3ODYwM15BMl5BanBnXkFtZTgwMDE2NjI2MDE@._V1_SX300.jpg,3.0,"4,347",tt1038685,movie,39.192933688988724,35.04188934125759,4.129440881066031,1854.7193830214128,77.91914988541484,29.5356185349335,#51678e,#8f9db9,#28344e,#dbe0eb,#0b0d13
